class,blook,floor,x,y,notes,ac:a3:1e:62:18:f0,ac:a3:1e:62:18:e0,ac:a3:1e:62:5c:c0,ac:a3:1e:62:5c:d0,24:de:c6:3c:f3:80,ac:a3:1e:61:fe:10,ac:a3:1e:61:fe:00,9c:1c:12:34:81:30,9c:1c:12:34:81:20,ac:a3:1e:62:32:20,ac:a3:1e:62:32:30
204,D,1,7.23,1.72,en arka sol 8. sıra,-70,-74,-66,-83,-100,-100,-100,-100,-100,-100,-100
204,D,1,7.23,1.72,en arka sol 8. sıra,-70,-68,-65,-81,-100,-100,-100,-100,-100,-100,-100
204,D,1,7.23,1.72,en arka sol 8. sıra,-70,-63,-65,-78,-80,-100,-100,-100,-100,-100,-100
204,D,1,8.15,1.72,en arka 9.sıra,-65,-100,-68,-75,-81,-100,-100,-100,-100,-100,-100
204,D,1,8.15,1.72,en arka 9.sıra,-100,-100,-69,-75,-81,-100,-100,-100,-100,-100,-100
204,D,1,8.15,1.72,en arka 9.sıra,-74,-72,-71,-71,-76,-100,-100,-100,-100,-100,-100
204,D,1,8.15,1.72,en arka 9.sıra,-73,-68,-70,-76,-100,-100,-100,-100,-100,-100,-100
204,D,1,1.60,0,en arka sol pencere,-100,-71,-64,-80,-100,-100,-100,-100,-100,-100,-100
204,D,1,1.60,0,en arka sol pencere,-100,-74,-77,-73,-80,-100,-100,-100,-100,-100,-100
204,D,1,1.60,0,en arka sol pencere,-73,-72,-70,-79,-100,-100,-100,-100,-100,-100,-100
204,D,1,1.60,0,en arka sol pencere,-75,-72,-69,-78,-86,-100,-100,-100,-100,-100,-100
204,D,1,3.52,0,en arka sol pencere yanı duvar,-100,-72,-70,-76,-80,-100,-100,-100,-100,-100,-100
204,D,1,3.52,0,en arka sol pencere yanı duvar,-100,-74,-77,-73,-80,-100,-100,-100,-100,-100,-100
204,D,1,3.52,0,en arka sol pencere yanı duvar,-100,-100,-80,-80,-86,-100,-100,-100,-100,-100,-100
204,D,1,3.52,0,en arka sol pencere yanı duvar,-79,-74,-72,-77,-86,-100,-100,-100,-100,-100,-100
204,D,1,3.52,0,en arka sol pencere yanı duvar,-79,-74,-65,-74,-100,-100,-100,-100,-100,-100,-100
204,D,1,5.28,0,2.pencere orta pencere,-63,-73,-68,-71,-100,-100,-100,-100,-100,-100,-100
204,D,1,5.28,0,2.pencere orta pencere,-100,-73,-70,-80,-100,-100,-100,-100,-100,-100,-100
204,D,1,5.28,0,2.pencere orta pencere,-75,-100,-68,-78,-100,-100,-100,-100,-100,-100,-100
204,D,1,5.28,0,2.pencere orta pencere,-75,-81,-67,-79,-86,-100,-100,-100,-100,-100,-100
204,D,1,5.28,0,2.pencere orta pencere,-78,-76,-70,-86,-100,-100,-100,-100,-100,-100,-100
204,D,1,7.23,0,2. pencere yanı duvar,-72,-78,-71,-80,-86,-100,-100,-100,-100,-100,-100
204,D,1,7.23,0,2. pencere yanı duvar,-70,-100,-72,-84,-100,-100,-100,-100,-100,-100,-100
